Region,Gender,Percent
New South Wales,All,17.5
New South Wales,Male,15.4
New South Wales,Female,19.9
Victoria,All,18.2
Victoria,Male,15.9
Victoria,Female,20.7
Queensland,All,23.9
Queensland,Male,20.9
Queensland,Female,27.0
South Australia,All,20.8
South Australia,Male,18.3
South Australia,Female,23.5
Western Australia,All,20.2
Western Australia,Male,17.5
Western Australia,Female,23.1
Tasmania,All,25.2
Tasmania,Male,22.0
Tasmania,Female,28.7
Northern Territory,All,28.3
Northern Territory,Male,25.2
Northern Territory,Female,31.6
Australian Capital Territory,All,22.4
Australian Capital Territory,Male,19.5
Australian Capital Territory,Female,25.3
